group,variable,value
04-25,2001,119
04-26,2001,117
04-27,2001,61
04-28,2001,100
04-29,2001,119
04-30,2001,123
05-01,2001,101
05-02,2001,116
05-03,2001,133
05-04,2001,94
05-05,2001,52
05-06,2001,116
05-07,2001,105
05-08,2001,100
05-09,2001,80
05-10,2001,105
05-11,2001,58
05-12,2001,69
05-13,2001,89
05-14,2001,58
05-15,2001,84
05-16,2001,106
05-17,2001,91
05-18,2001,68
05-19,2001,65
05-20,2001,102
05-21,2001,62
05-22,2001,82
05-23,2001,69
05-24,2001,59
05-25,2001,59
05-26,2001,69
05-27,2001,45
05-28,2001,52
05-29,2001,42
05-30,2001,44
05-31,2001,80
06-01,2001,94
06-02,2001,106
06-03,2001,52
06-04,2001,104
06-05,2001,72
06-06,2001,82
06-07,2001,57
06-08,2001,104
06-09,2001,123
06-10,2001,126
06-11,2001,63
06-12,2001,84
06-13,2001,156
06-14,2001,172
06-15,2001,150
06-16,2001,74
06-17,2001,61
06-18,2001,114
06-19,2001,156
06-20,2001,86
06-21,2001,66
06-22,2001,41
06-23,2001,65
06-24,2001,101
06-25,2001,172
06-26,2001,154
06-27,2001,200
06-28,2001,195
06-29,2001,200
06-30,2001,132
07-01,2001,84
07-02,2001,70
07-03,2001,66
07-04,2001,54
07-05,2001,34
07-06,2001,75
07-07,2001,65
07-08,2001,105
07-09,2001,172
07-10,2001,67
07-11,2001,50
07-12,2001,72
07-13,2001,36
07-14,2001,60
07-15,2001,147
07-16,2001,185
07-17,2001,190
07-18,2001,151
07-19,2001,169
07-20,2001,159
07-21,2001,144
07-22,2001,167
07-23,2001,129
07-24,2001,115
07-25,2001,31
07-26,2001,32
07-27,2001,113
07-28,2001,108
07-29,2001,121
07-30,2001,100
07-31,2001,112
08-01,2001,149
08-02,2001,125
08-03,2001,71
08-04,2001,40
08-05,2001,108
08-06,2001,147
08-07,2001,136
08-08,2001,126
08-09,2001,150
08-10,2001,54
08-11,2001,74
08-12,2001,80
08-13,2001,64
08-14,2001,61
08-15,2001,106
08-16,2001,86
08-17,2001,66
08-18,2001,107
08-19,2001,99
08-20,2001,43
08-21,2001,61
08-22,2001,77
08-23,2001,104
08-24,2001,76
08-25,2001,114
08-26,2001,74
08-27,2001,63
08-28,2001,100
08-29,2001,115
08-30,2001,118
08-31,2001,43
09-01,2001,40
09-02,2001,76
09-03,2001,122
09-04,2001,40
09-05,2001,86
09-06,2001,131
09-07,2001,112
09-08,2001,105
09-09,2001,97
09-10,2001,38
09-11,2001,43
09-12,2001,60
09-13,2001,38
09-14,2001,29
09-15,2001,53
09-16,2001,71
09-17,2001,115
09-18,2001,77
09-19,2001,134
09-20,2001,44
09-21,2001,67
09-22,2001,59
09-23,2001,82
09-24,2001,22
09-25,2001,21
09-26,2001,25
09-27,2001,26
09-28,2001,46
09-29,2001,30
09-30,2001,105
10-01,2001,72
10-02,2001,66
10-03,2001,88
10-04,2001,58
10-05,2001,31
10-06,2001,26
10-07,2001,35
10-08,2001,80
10-09,2001,131
10-10,2001,111
10-11,2001,50
10-12,2001,103
10-13,2001,53
10-14,2001,31
10-15,2001,45
10-16,2001,34
10-17,2001,40
10-18,2001,94
10-19,2001,68
10-20,2001,53
10-21,2001,51
10-22,2001,60
10-23,2001,107
10-24,2001,96
10-25,2001,69
10-26,2001,20
10-27,2001,15
10-28,2001,72
10-29,2001,48
10-30,2001,112
10-31,2001,112
11-01,2001,113
11-02,2001,50
11-03,2001,57
11-04,2001,49
11-05,2001,30
11-06,2001,71
11-07,2001,71
11-08,2001,59
11-09,2001,64
11-10,2001,66
11-11,2001,32
11-12,2001,102
11-13,2001,125
11-14,2001,132
11-15,2001,130
11-16,2001,89
11-17,2001,66
11-18,2001,123
11-19,2001,89
11-20,2001,37
11-21,2001,119
11-22,2001,142
11-23,2001,143
11-24,2001,61
11-25,2001,52
11-26,2001,51
11-27,2001,76
11-28,2001,59
11-29,2001,41
11-30,2001,134
12-01,2001,55
12-02,2001,84
12-03,2001,88
12-04,2001,89
12-05,2001,87
12-06,2001,50
12-07,2001,62
12-08,2001,105
12-09,2001,60
12-10,2001,84
12-11,2001,54
12-12,2001,109
12-13,2001,52
12-14,2001,85
12-15,2001,86
12-16,2001,49
12-17,2001,52
12-18,2001,62
12-19,2001,66
12-20,2001,25
12-21,2001,52
12-22,2001,74
12-23,2001,102
12-24,2001,83
12-25,2001,52
12-26,2001,54
12-27,2001,91
12-28,2001,43
12-29,2001,30
12-30,2001,72
12-31,2001,52
01-01,2002,59
01-02,2002,72
01-03,2002,67
01-04,2002,69
01-05,2002,106
01-06,2002,77
01-07,2002,35
01-08,2002,89
01-09,2002,59
01-10,2002,55
01-11,2002,65
01-12,2002,59
01-13,2002,36
01-14,2002,102
01-15,2002,40
01-16,2002,91
01-17,2002,58
01-18,2002,66
01-19,2002,66
01-20,2002,68
01-21,2002,74
01-22,2002,112
01-23,2002,83
01-24,2002,49
01-25,2002,58
01-26,2002,79
01-27,2002,51
01-28,2002,76
01-29,2002,94
01-30,2002,61
01-31,2002,61
02-01,2002,45
02-02,2002,53
02-03,2002,54
02-04,2002,51
02-05,2002,60
02-06,2002,77
02-07,2002,101
02-08,2002,94
02-09,2002,95
02-10,2002,118
02-11,2002,55
02-12,2002,50
02-13,2002,54
02-14,2002,50
02-15,2002,60
02-16,2002,72
02-17,2002,38
02-18,2002,90
02-19,2002,89
02-20,2002,115
02-21,2002,35
02-22,2002,53
02-23,2002,149
02-24,2002,108
02-25,2002,114
02-26,2002,32
02-27,2002,37
02-28,2002,80
03-01,2002,101
03-02,2002,122
03-03,2002,49
03-04,2002,24
03-05,2002,61
03-06,2002,91
03-07,2002,56
03-08,2002,127
03-09,2002,105
03-10,2002,32
03-11,2002,123
03-12,2002,108
03-13,2002,108
03-14,2002,107
03-15,2002,103
03-16,2002,30
03-17,2002,117
03-18,2002,67
03-19,2002,71
03-20,2002,36
03-21,2002,61
03-22,2002,46
03-23,2002,59
03-24,2002,64
03-25,2002,31
03-26,2002,74
03-27,2002,86
03-28,2002,110
03-29,2002,87
03-30,2002,75
03-31,2002,64
04-01,2002,55
04-02,2002,125
04-03,2002,36
04-04,2002,35
04-05,2002,50
04-06,2002,39
04-07,2002,87
04-08,2002,94
04-09,2002,37
04-10,2002,44
04-11,2002,112
04-12,2002,91
04-13,2002,52
04-14,2002,85
04-15,2002,61
04-16,2002,122
04-17,2002,83
04-18,2002,108
04-19,2002,64
04-20,2002,39
04-21,2002,47
04-22,2002,39
04-23,2002,87
04-24,2002,101
04-25,2002,58
04-26,2002,54
04-27,2002,111
04-28,2002,129
04-29,2002,51
04-30,2002,66
05-01,2002,90
05-02,2002,102
05-03,2002,51
05-04,2002,82
05-05,2002,80
05-06,2002,115
05-07,2002,62
05-08,2002,129
05-09,2002,39
05-10,2002,52
05-11,2002,72
05-12,2002,74
05-13,2002,39
05-14,2002,43
05-15,2002,102
05-16,2002,53
05-17,2002,30
05-18,2002,34
05-19,2002,41
05-20,2002,31
05-21,2002,89
05-22,2002,80
05-23,2002,97
05-24,2002,60
05-25,2002,106
05-26,2002,109
05-27,2002,77
05-28,2002,100
05-29,2002,94
05-30,2002,93
05-31,2002,71
06-01,2002,93
06-02,2002,74
06-03,2002,75
06-04,2002,92
06-05,2002,62
06-06,2002,46
06-07,2002,60
06-08,2002,154
06-09,2002,182
06-10,2002,156
06-11,2002,93
06-12,2002,56
06-13,2002,56
06-14,2002,74
06-15,2002,48
06-16,2002,33
06-17,2002,75
06-18,2002,84
06-19,2002,129
06-20,2002,185
06-21,2002,98
06-22,2002,169
06-23,2002,169
06-24,2002,192
06-25,2002,209
06-26,2002,96
06-27,2002,128
06-28,2002,100
06-29,2002,136
06-30,2002,182
07-01,2002,161
07-02,2002,74
